Country,State,District,Block,Year,Month,Village Name,"Number Of Households Issue Job Card Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Others (UOM:Number), Scaling Factor:1","Total Number Of Households Issue Job Card (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Others (UOM:Number), Scaling Factor:1","Total Number Of Household Provided Employment (UOM:Number), Scaling Factor:1","Number Of Employment Provided To Woman (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Others (UOM:Number), Scaling Factor:1","Total Number Of Person Days Generated (UOM:Number), Scaling Factor:1","Number Of Person Days Generated For Woman (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Families Completed 100days Others (UOM:Number), Scaling Factor:1","Total Families Completed 100 Days (UOM:Number), Scaling Factor:1"
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2015","June, 2015",lower nongbak apal,0,82,1,83,0,82,1,83,68,0,6081,75,6156,2627,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",jogogre,0,96,0,96,0,96,0,96,17,0,2880,0,2880,510,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",kakwa bonegre,0,63,0,63,0,63,0,63,4,0,1769,0,1769,112,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",norek megapgre,0,111,3,114,0,109,3,112,50,0,4132,143,4275,916,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",norek nengjreng,0,40,0,40,0,40,0,40,35,0,2239,0,2239,667,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",jaljenggre,0,7,0,7,0,7,0,7,7,0,525,0,525,255,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",grenanggre,0,31,1,32,0,31,1,32,7,0,2688,87,2775,606,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",gitokgre,0,98,0,98,0,98,0,98,104,0,7350,0,7350,1907,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",gonggre,0,34,0,34,0,34,0,34,3,0,1050,0,1050,72,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",gongnagre,0,50,1,51,0,50,1,51,3,0,2500,50,2550,150,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2015","June, 2015",gradekgittim,0,58,1,59,0,58,1,59,64,0,4350,75,4425,1812,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",nirangma,0,24,0,24,0,19,0,19,19,0,1464,0,1464,732,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",norek bollong,0,47,1,48,0,47,1,48,37,0,2443,55,2498,506,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",kanchimik,0,32,0,32,0,32,0,32,32,0,1917,0,1917,891,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",kantra,0,20,0,20,0,20,0,20,22,0,1493,0,1493,622,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",kera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",koknal imong,0,83,0,83,0,80,0,80,104,0,5875,0,5875,2615,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",koksi nengsat,0,186,2,188,0,178,2,180,82,0,4360,42,4402,1144,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",koksi rongkong,0,30,0,30,0,30,0,30,32,0,1603,0,1603,660,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",koksi songgittal,0,28,0,28,0,28,0,28,29,0,2017,0,2017,895,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",koksi songma,0,62,0,62,0,62,0,62,56,0,2060,0,2060,728,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",manda chachatgre,0,32,0,32,0,32,0,32,28,0,1440,0,1440,600,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",manda cheran,0,48,0,48,0,48,0,48,52,0,2157,0,2157,852,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",manda dokrugre,0,9,0,9,0,9,0,9,9,0,810,0,810,378,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",mandalang,0,31,0,31,0,31,0,31,28,0,1793,0,1793,593,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",manda songgitcham,0,55,0,55,0,54,0,54,52,0,2406,0,2406,1188,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",marongpa,0,29,0,29,0,29,0,29,2,0,1361,0,1361,62,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2015","June, 2015",mendal,0,294,1,295,0,293,1,294,296,0,21620,100,21720,9660,0,94,1,95
